,0,1,2,3,4,5,6,7,8,9,10,11,12
0,100000000,0.04,1.00E-06,-0.1,0.0004,0.06,1.00E-06,-0.1,0.004,1.00E-10,125.7023206,10,1.48E-05
1,100000000,0.04,1.00E-06,-0.1,0.0004,0.06,1.00E-06,-0.1,0.006672402,1.00E-10,84.80338409,16.68100537,1.35E-05
2,100000000,0.04,1.00E-06,-0.1,0.0004,0.06,1.00E-06,-0.1,0.011130238,1.00E-10,36.85942734,27.82559402,1.89E-05
3,100000000,0.04,1.00E-06,-0.1,0.0004,0.06,1.00E-06,-0.1,0.018566355,1.00E-10,11.29901789,46.41588834,1.98E-05
4,100000000,0.04,1.00E-06,-0.1,0.0004,0.06,1.00E-06,-0.1,0.030970547,1.00E-10,1.119007391,77.42636827,1.65E-05
5,100000000,0.04,1.00E-06,-0.1,0.0004,0.06,1.00E-06,-0.1,0.051661987,1.00E-10,0.033714752,129.1549665,2.22E-05
0,100000000,0.04,1.00E-06,-0.1,0.0004,0.06,1.00E-06,-0.1,0.0255,1.00E-10,3.081326291,1,2.00E-05
1,100000000,0.04,1.00E-06,-0.1,0.0004,0.06,1.00E-06,-0.1,0.039,1.00E-10,0.235827138,1,1.57E-05
2,100000000,0.04,1.00E-06,-0.1,0.0004,0.06,1.00E-06,-0.1,0.044,1.00E-10,0.101318825,1,1.94E-05
3,100000000,0.04,1.00E-06,-0.1,0.0004,0.06,1.00E-06,-0.1,0.057,1.00E-10,0.015421262,1,2.06E-05
4,100000000,0.04,1.00E-06,-0.1,0.0004,0.06,1.00E-06,-0.1,0.0026,1.00E-10,200.9949791,1,1.44E-05
0,100000000,0.04,1.00E-06,-0.1,0.0004,0.06,1.00E-06,-0.1,0.0004,1.00E-10,288.217138,1,2.06E-05
1,100000000,0.04,1.00E-06,-0.1,0.0004,0.06,1.00E-06,-0.1,0.00051662,1.00E-10,175.8778845,1.291549665,1.71E-05
3,100000000,0.04,1.00E-06,-0.1,0.0004,0.06,1.00E-06,-0.1,0.000861774,1.00E-10,222.9646335,2.15443469,1.82E-05
5,100000000,0.04,1.00E-06,-0.1,0.0004,0.06,1.00E-06,-0.1,0.001437525,1.00E-10,166.5301066,3.593813664,1.79E-05
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
