,0,1,2,3,4,5,6,7,8,9,10,11,12
0,100000000,0.04,1.00E-06,-0.1,0.0004,0.048,1.00E-06,-0.1,0.0004,1.00E-10,17.70247897,1,1.62E-05
1,100000000,0.04,1.00E-06,-0.1,0.0004,0.048,1.00E-06,-0.1,0.00058712,1.00E-10,16.14151605,1.467799268,1.51E-05
2,100000000,0.04,1.00E-06,-0.1,0.0004,0.048,1.00E-06,-0.1,0.000861774,1.00E-10,14.72700818,2.15443469,1.52E-05
3,100000000,0.04,1.00E-06,-0.1,0.0004,0.048,1.00E-06,-0.1,0.001264911,1.00E-10,16.32609906,3.16227766,1.41E-05
4,100000000,0.04,1.00E-06,-0.1,0.0004,0.048,1.00E-06,-0.1,0.001856636,1.00E-10,14.89565219,4.641588834,1.72E-05
5,100000000,0.04,1.00E-06,-0.1,0.0004,0.048,1.00E-06,-0.1,0.002725168,1.00E-10,11.69144764,6.812920691,1.73E-05
6,100000000,0.04,1.00E-06,-0.1,0.0004,0.048,1.00E-06,-0.1,0.004,1.00E-10,7.21045176,10,1.53E-05
7,100000000,0.04,1.00E-06,-0.1,0.0004,0.048,1.00E-06,-0.1,0.005871197,1.00E-10,6.607097645,14.67799268,1.55E-05
8,100000000,0.04,1.00E-06,-0.1,0.0004,0.048,1.00E-06,-0.1,0.008617739,1.00E-10,2.713558301,21.5443469,1.77E-05
9,100000000,0.04,1.00E-06,-0.1,0.0004,0.048,1.00E-06,-0.1,0.012649111,1.00E-10,1.258705321,31.6227766,1.84E-05
1,100000000,0.04,1.00E-06,-0.1,0.0004,0.048,1.00E-06,-0.1,0.018566355,1.00E-10,0.380635389,46.41588834,1.71E-05
2,100000000,0.04,1.00E-06,-0.1,0.0004,0.048,1.00E-06,-0.1,0.027251683,1.00E-10,0.069130062,68.12920691,1.25E-05
3,100000000,0.04,1.00E-06,-0.1,0.0004,0.048,1.00E-06,-0.1,0.04,1.00E-10,0.012179811,100,2.74E-05
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
