,0,1,2,3,4,5,6,7,8,9
0,100000000,0.01,1.00E-05,-0.1,0,0.03,1.00E-10,-0.1,0,1.109877205
1,100000000,0.01,1.00E-05,-0.1,0,0.03,1.00E-09,-0.1,0,4.651726077
2,100000000,0.01,1.00E-05,-0.1,0,0.03,1.00E-08,-0.1,0,29.21121753
0,100000000,0.01,1.00E-05,-0.1,0,0.03,4.20E-08,-0.1,0,99.06807347
0,100000000,0.01,1.00E-05,-0.1,0,0.03,1.00E-07,-0.1,0,197.7490191
1,100000000,0.01,1.00E-05,-0.1,0,0.03,1.00E-06,-0.1,0,520.9125678
2,100000000,0.01,1.00E-05,-0.1,0,0.03,1.00E-05,-0.1,0,918.2229628
3,100000000,0.01,1.00E-05,-0.1,0,0.03,0.0001,-0.1,0,1239.92508
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
