,0,1,2,3,4,5,6,7,8,9,10
0,10000000,0.1,1.00E-05,0,0,0.1,1.00E-05,0,0,0.01,0.6918
0,10000000,0.1,1.00E-05,0,0,0.13,1.00E-05,0,0,0.01,21.6441593
1,10000000,0.1,1.00E-05,0,0,0.16,1.00E-05,0,0,0.01,140.5578356
0,10000000,0.1,1.00E-05,0,0,0.19,1.00E-05,0,0,0.01,389.0844454
1,10000000,0.1,1.00E-05,0,0,0.22,1.00E-05,0,0,0.01,998.843285
0,10000000,0.1,1.00E-05,0,0,0.25,1.00E-05,0,0,0.01,1031.043203
1,10000000,0.1,1.00E-05,0,0,0.325,1.00E-05,0,0,0.01,2438.732973
0,10000000,0.1,1.00E-05,0,0,0.4,1.00E-05,0,0,0.01,3437.956134
1,10000000,0.1,1.00E-05,0,0,0.5,1.00E-05,0,0,0.01,4204.282603
2,10000000,0.1,1.00E-05,0,0,0.6,1.00E-05,0,0,0.01,5474.32108
