,0,1,2,3,4,5,6,7,8,9,10,11
0,10000000,0.1,1.00E-05,0,0,0.01,1.00E-05,0,0,0.01,1,14.5652981
0,10000000,0.1,1.00E-05,0,0,0.013,1.00E-05,0,0,0.01,1.3,155.9992786
0,10000000,0.1,1.00E-05,0,0,0.016,1.00E-05,0,0,0.01,1.6,357.592834
1,10000000,0.1,1.00E-05,0,0,0.019,1.00E-05,0,0,0.01,1.9,988.3098534
0,10000000,0.1,1.00E-05,0,0,0.018,1.00E-05,0,0,0.01,1.8,682.9186572
1,10000000,0.1,1.00E-05,0,0,0.02,1.00E-05,0,0,0.01,2,944.7054131
0,10000000,0.1,1.00E-05,0,0,0.022,1.00E-05,0,0,0.01,2.2,1167.146076
1,10000000,0.1,1.00E-05,0,0,0.025,1.00E-05,0,0,0.01,2.5,1771.36655
0,10000000,0.1,1.00E-05,0,0,0.0325,1.00E-05,0,0,0.01,3.25,2364.433909
1,10000000,0.1,1.00E-05,0,0,0.04,1.00E-05,0,0,0.01,4,4396.106359
0,10000000,0.1,1.00E-05,0,0,0.05,1.00E-05,0,0,0.01,5,6116.723754
1,10000000,0.1,1.00E-05,0,0,0.06,1.00E-05,0,0,0.01,6,5381.142236
