,0,1,2,3,4,5,6,7,8,9,10
0,100000000,0.01,1.00E-05,-1.00E-06,0.01,0.01,1.00E-05,-1.00E-06,0,1.027645133,7.63E-06
0,100000000,0.01,1.00E-05,-0.0003333,0.01,0.01,1.00E-05,-0.0003333,0,5.06775729,6.17E-06
0,100000000,0.01,1.00E-05,-0.000666,0.01,0.01,1.00E-05,-0.000666,0,11.48142469,7.13E-06
0,100000000,0.01,1.00E-05,-0.001,0.01,0.01,1.00E-05,-0.001,0,28.9355491,7.97E-06
0,100000000,0.01,1.00E-05,-0.0013333,0.01,0.01,1.00E-05,-0.0013333,0,62.15193023,5.93E-06
1,100000000,0.01,1.00E-05,-0.0016666,0.01,0.01,1.00E-05,-0.0016666,0,79.03109905,6.92E-06
1,100000000,0.01,1.00E-05,-0.002,0.01,0.01,1.00E-05,-0.002,0,137.9337858,7.42E-06
1,100000000,0.01,1.00E-05,-0.0030008,0.01,0.01,1.00E-05,-0.0030008,0,225.4451729,7.44E-06
0,100000000,0.01,1.00E-05,-0.004,0.01,0.01,1.00E-05,-0.004,0,346.4937633,7.80E-06
1,100000000,0.01,1.00E-05,-0.005,0.01,0.01,1.00E-05,-0.005,0,387.8467172,6.86E-06
2,100000000,0.01,1.00E-05,-0.0060006,0.01,0.01,1.00E-05,-0.0060006,0,447.1067364,7.95E-06
0,100000000,0.01,1.00E-05,-0.007,0.01,0.01,1.00E-05,-0.007,0,445.5776331,7.59E-06
1,100000000,0.01,1.00E-05,-0.008,0.01,0.01,1.00E-05,-0.008,0,454.3804043,6.72E-06
3,100000000,0.01,1.00E-05,-0.0090004,0.01,0.01,1.00E-05,-0.0090004,0,480.5124437,8.41E-06
2,100000000,0.01,1.00E-05,-0.01,0.01,0.01,1.00E-05,-0.01,0,393.2816711,9.31E-06
0,100000000,0.01,1.00E-05,-0.011,0.01,0.01,1.00E-05,-0.011,0,407.7663156,8.52E-06
4,100000000,0.01,1.00E-05,-0.0120002,0.01,0.01,1.00E-05,-0.0120002,0,534.004722,7.55E-06
1,100000000,0.01,1.00E-05,-0.013,0.01,0.01,1.00E-05,-0.013,0,526.684355,8.02E-06
2,100000000,0.01,1.00E-05,-0.014,0.01,0.01,1.00E-05,-0.014,0,520.9024056,8.36E-06
5,100000000,0.01,1.00E-05,-0.015,0.01,0.01,1.00E-05,-0.015,0,425.6080896,8.46E-06
6,4.70E-05,,,,,,,,,,
