,0,1,2,3,4,5,6,7,8,9,10,11
0,100000000,0.01,1.00E-05,-0.01,0.001,0.01,1.00E-05,-0.01,0.001,1.069874423,1,9.45E-06
0,100000000,0.01,1.00E-05,-0.01,0.001,0.011,1.00E-05,-0.011,0.001,8.41049646,1.1,7.30E-06
1,100000000,0.01,1.00E-05,-0.01,0.001,0.012,1.00E-05,-0.012,0.001,31.52849733,1.2,8.15E-06
1,100000000,0.01,1.00E-05,-0.01,0.001,0.013,1.00E-05,-0.013,0.001,96.19748539,1.3,8.19E-06
2,100000000,0.01,1.00E-05,-0.01,0.001,0.0145,1.00E-05,-0.0145,0.001,333.5469296,1.45,1.03E-05
2,100000000,0.01,1.00E-05,-0.01,0.001,0.016,1.00E-05,-0.016,0.001,815.0038348,1.6,9.52E-06
3,100000000,0.01,1.00E-05,-0.01,0.001,0.0175,1.00E-05,-0.0175,0.001,1425.121822,1.75,8.22E-06
3,100000000,0.01,1.00E-05,-0.01,0.001,0.019,1.00E-05,-0.019,0.001,3138.091398,1.9,8.14E-06
4,100000000,0.01,1.00E-05,-0.01,0.001,0.022,1.00E-05,-0.022,0.001,5501.131899,2.2,7.52E-06
5,100000000,0.01,1.00E-05,-0.01,0.001,0.025,1.00E-05,-0.025,0.001,9620.859642,2.5,8.05E-06
6,100000000,0.01,1.00E-05,-0.01,0.001,0.028,1.00E-05,-0.028,0.001,15579.1785,2.8,7.15E-06
7,100000000,0.01,1.00E-05,-0.01,0.001,0.031,1.00E-05,-0.031,0.001,19406.76463,3.1,8.62E-06
8,100000000,0.01,1.00E-05,-0.01,0.001,0.034,1.00E-05,-0.034,0.001,29387.59119,3.4,8.28E-06
9,4.93E-05,,,,,,,,,,,
