,0,1,2,3,4,5,6,7,8,9,10
0,100000000,0.01,1.00E-05,-0.01,0.001,0.01,2.00E-05,-0.01,0.00099,14.5819265,7.39E-06
0,100000000,0.01,1.00E-05,-0.01,0.001,0.01,2.76E-05,-0.01,0.000982441,42.47530701,8.39E-06
1,100000000,0.01,1.00E-05,-0.01,0.001,0.01,3.51E-05,-0.01,0.000974881,84.7226119,7.73E-06
1,100000000,0.01,1.00E-05,-0.01,0.001,0.01,5.41E-05,-0.01,0.000955893,283.2370103,8.76E-06
2,100000000,0.01,1.00E-05,-0.01,0.001,0.01,7.31E-05,-0.01,0.000936904,829.121843,7.63E-06
2,100000000,0.01,1.00E-05,-0.01,0.001,0.01,0.00012079,-0.01,0.00088921,4080.542978,9.50E-06
3,100000000,0.01,1.00E-05,-0.01,0.001,0.01,0.000168489,-0.01,0.000841511,6993.740264,8.14E-06
3,100000000,0.01,1.00E-05,-0.01,0.001,0.01,0.000288298,-0.01,0.000721702,24536.95426,8.44E-06
4,100000000,0.01,1.00E-05,-0.01,0.001,0.01,0.000408107,-0.01,0.000601893,48684.54764,8.64E-06
4,100000000,0.01,1.00E-05,-0.01,0.001,0.01,0.000709,-0.01,0.000301,129021.302,9.09E-06
5,100000000,0.01,1.00E-05,-0.01,0.001,0.01,0.00051,-0.01,0.0005,69026.18567,8.24E-06
5,100000000,0.01,1.00E-05,-0.01,0.001,0.01,0.00101,-0.01,0,183256.2558,9.08E-06
6,4.92E-05,,,,,,,,,,
