,0,1,2,3,4,5,6,7,8,9,10
0,100000000,0.01,1.00E-05,-0.1,0.1,0.01,1.00E-05,-0.05,0,8897748.471,7.76E-06
0,100000000,0.01,1.00E-05,-0.1,0.05,0.01,1.00E-05,-0.05,0,5837975.996,7.76E-06
3,100000000,0.01,1.00E-05,-0.1,0.02,0.01,1.00E-05,-0.05,0,48158.52504,8.35E-06
1,100000000,0.01,1.00E-05,-0.1,0.01,0.01,1.00E-05,-0.05,0,464.5921085,8.32E-06
2,100000000,0.01,1.00E-05,-0.1,0.005,0.01,1.00E-05,-0.05,0,25.97452764,9.35E-06
3,100000000,0.01,1.00E-05,-0.1,0.001,0.01,1.00E-05,-0.05,0,1.62360238,8.31E-06
4,100000000,0.01,1.00E-05,-0.1,0.0005,0.01,1.00E-05,-0.05,0,1.337798629,7.97E-06
5,100000000,0.01,1.00E-05,-0.1,0.0001,0.01,1.00E-05,-0.05,0,0.99874184,8.14E-06
6,100000000,0.01,1.00E-05,-0.1,5.00E-05,0.01,1.00E-05,-0.05,0,1.024378046,9.12E-06
1,100000000,0.01,1.00E-05,-0.1,0.00022,0.01,1.00E-05,-0.05,0,1.389397983,8.75E-06
2,100000000,0.01,1.00E-05,-0.1,0.0023,0.01,1.00E-05,-0.05,0,4.964029576,8.35E-06
