,0,1,2,3,4,5,6,7,8,9,10,11
0,100000000,0.01,1.00E-05,0,0,0.01,1.00E-05,0,0,0.805827749,1,0
1,100000000,0.01,1.00E-05,0,0,0.012,1.00E-05,0,0,2.551965022,1.2,0
0,100000000,0.01,1.00E-05,0,0,0.014,1.00E-05,0,0,5.185915436,1.4,0
1,100000000,0.01,1.00E-05,0,0,0.017,1.00E-05,0,0,33.31353611,1.7,0
0,100000000,0.01,1.00E-05,0,0,0.02,1.00E-05,0,0,66.67923898,2,0
1,100000000,0.01,1.00E-05,0,0,0.025,1.00E-05,0,0,497.0789601,2.5,0
0,100000000,0.01,1.00E-05,0,0,0.0325,1.00E-05,0,0,3920.20409,3.25,0
0,100000000,0.01,1.00E-05,0,0,0.03625,1.00E-05,0,0,8242.561625,3.625,0
0,100000000,0.01,1.00E-05,0,0,0.04,1.00E-05,0,0,12681.68348,4,0
1,100000000,0.01,1.00E-05,0,0,0.045,1.00E-05,0,0,21240.81091,4.5,0
1,100000000,0.01,1.00E-05,0,0,0.05,1.00E-05,0,0,24367.57529,5,0
2,100000000,0.01,1.00E-05,0,0,0.055,1.00E-05,0,0,36515.63217,5.5,0
2,100000000,0.01,1.00E-05,0,0,0.06,1.00E-05,0,0,32984.59998,6,0
