,0,1,2,3,4,5,6,7,8,9,10,11
0,100000000,0.01,1.00E-05,0,0,0.012,1.00E-05,0,0,5.944964278,1.2,5
0,100000000,0.01,1.00E-05,0,0,0.014,1.00E-05,0,0,78.23012831,1.4,5
0,100000000,0.01,1.00E-05,0,0,0.017,1.00E-05,0,0,790.7509744,1.7,5
0,100000000,0.01,1.00E-05,0,0,0.02,1.00E-05,0,0,2886.343856,2,5
0,100000000,0.01,1.00E-05,0,0,0.0225,1.00E-05,0,0,7146.645917,2.25,5
1,100000000,0.01,1.00E-05,0,0,0.025,1.00E-05,0,0,8416.334421,2.5,5
0,100000000,0.01,1.00E-05,0,0,0.02875,1.00E-05,0,0,15172.98025,2.875,5
0,100000000,0.01,1.00E-05,0,0,0.0325,1.00E-05,0,0,20898.70892,3.25,5
0,100000000,0.01,1.00E-05,0,0,0.03625,1.00E-05,0,0,28089.13811,3.625,5
1,100000000,0.01,1.00E-05,0,0,0.04,1.00E-05,0,0,27506.74406,4,5
1,100000000,0.01,1.00E-05,0,0,0.045,1.00E-05,0,0,33507.1202,4.5,5
0,100000000,0.01,1.00E-05,0,0,0.05,1.00E-05,0,0,32534.57258,5,5
2,100000000,0.01,1.00E-05,0,0,0.055,1.00E-05,0,0,41845.02128,5.5,5
1,100000000,0.01,1.00E-05,0,0,0.06,1.00E-05,0,0,38182.0472,6,5
