,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0,1,1,1,1,1,1,1,1,1,1,1,0
0,50,0.561263094,0.5201563,0.57070988,0.527857795,0.602479423,0.563343921,0.481083104,0.482297512,0.528512765,0.444106955,0.528181075,0.045952561
1,100,0.367253187,0.383216546,0.300543046,0.328911323,0.38737241,0.326892379,0.179764347,0.325978604,0.309935338,0.226158293,0.313602547,0.062828177
2,150,0.23980664,0.329545106,0.270746391,0.286157039,0.304073051,0.296411844,0.169776893,0.262318523,0.262279929,0.189978583,0.2611094,0.047279699
3,200,0.217079589,0.259610566,0.229124055,0.279200952,0.247320167,0.236708482,0.158794772,0.236094978,0.227745469,0.152471129,0.224415016,0.038237988
4,250,0.211500383,0.249827422,0.205218583,0.234414989,0.21286092,0.223875286,0.144179467,0.21228984,0.221842935,0.150551403,0.206656123,0.032106539
5,300,0.20142402,0.235295668,0.201906759,0.205862422,0.200603254,0.221321098,0.139904301,0.190895617,0.210457145,0.149875325,0.195754561,0.028065547
6,350,0.187299255,0.218390192,0.195735719,0.202130513,0.197977429,0.214650382,0.139140453,0.180768804,0.193589735,0.148555701,0.187823818,0.024535062
7,400,0.180236963,0.206156493,0.179250687,0.199499916,0.19426648,0.199147427,0.138745845,0.170158149,0.184147875,0.145539513,0.179714935,0.021535709
8,450,0.176780313,0.195278781,0.167007311,0.194070412,0.187097881,0.185665664,0.138132199,0.16270771,0.177271769,0.139867854,0.172387989,0.019451517
9,500,0.172521025,0.187392641,0.162721999,0.185948114,0.179082434,0.179520032,0.137012881,0.157354388,0.169902078,0.132562931,0.166401852,0.018191843
10,550,0.167233455,0.181730245,0.159383563,0.179036986,0.173320844,0.175953527,0.135160924,0.152383665,0.164518732,0.126858238,0.161558018,0.017574933
11,600,0.16276609,0.175799351,0.155300747,0.174079374,0.167889033,0.171946289,0.132663317,0.148634909,0.161014441,0.123860762,0.157395431,0.016727906
