,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0,1,1,1,1,1,1,1,1,1,1,1,0
0,50,0.571415716,0.75780405,0.653828579,0.623325778,0.548816822,0.700412547,0.715335031,0.693661588,0.602623394,0.634412212,0.650163572,0.063217949
1,100,0.398357712,0.618988965,0.485516127,0.518905329,0.411957385,0.441160178,0.524751437,0.437086343,0.47303066,0.472494336,0.478224847,0.061305338
2,150,0.368732441,0.525725093,0.460639758,0.430455271,0.39877675,0.376851116,0.433095703,0.362849082,0.451916394,0.399731187,0.42087728,0.047685242
3,200,0.304590958,0.44277655,0.426342697,0.399328482,0.36574978,0.336568681,0.377010227,0.348264181,0.388912229,0.368928831,0.375847262,0.039094309
4,250,0.295979029,0.425774549,0.401682173,0.39641088,0.335526019,0.307434269,0.33747012,0.339785773,0.373392677,0.341381053,0.355483654,0.040110509
5,300,0.294397241,0.410830073,0.388916321,0.389836567,0.331762331,0.30241107,0.323550119,0.314219962,0.369988804,0.336582899,0.346249539,0.038612736
6,350,0.292377525,0.390192994,0.375865178,0.375044116,0.330505939,0.301004064,0.310541283,0.292560111,0.36279377,0.332798889,0.336368387,0.035313373
7,400,0.288338,0.371841218,0.362883257,0.36062226,0.327911103,0.299117216,0.300241176,0.286681863,0.346073096,0.323900322,0.326760951,0.030685886
8,450,0.28255359,0.360869374,0.354138371,0.350970256,0.322521386,0.295632861,0.295600505,0.284757378,0.325480679,0.311777609,0.318430201,0.027762601
9,500,0.277481905,0.352958579,0.347107915,0.339697661,0.31504807,0.290601999,0.291604794,0.283427197,0.313526439,0.304153185,0.311560774,0.025749443
10,550,0.274214355,0.344489142,0.337548277,0.326484703,0.308438609,0.28565981,0.285189292,0.281384717,0.3091311,0.299966342,0.305250635,0.023250633
11,600,0.271763746,0.335613549,0.325640591,0.314237455,0.303250835,0.282089426,0.277683939,0.27782579,0.307269255,0.295755421,0.299113001,0.020760071
12,650,0.269224928,0.327656167,0.31488366,0.305989351,0.298451453,0.279451476,0.271945028,0.272995762,0.305110779,0.289646833,0.293535544,0.019041351
13,700,0.266484982,0.320466219,0.307707598,0.30188061,0.294106888,0.276983523,0.267812763,0.268292323,0.300246034,0.281898673,0.288587961,0.017989777
14,750,0.263888355,0.314061422,0.303703889,0.299475891,0.290542295,0.274417492,0.264431193,0.264454592,0.29032869,0.274725809,0.284002963,0.017209195
15,800,0.261676751,0.308802943,0.300702598,0.296616419,0.28734552,0.27172142,0.26146973,0.261162773,0.279611238,0.26935934,0.279846873,0.016744843
16,850,0.25960564,0.304018888,0.29696669,0.292174603,0.283861002,0.268968775,0.258767114,0.257804643,0.273698112,0.264066127,0.275993159,0.01625437
17,900,0.257359141,0.297909909,0.292276851,0.286274375,0.280173089,0.265817411,0.256019499,0.253897931,0.270885271,0.256077579,0.271669106,0.015627997
18,950,0.254822518,0.289553741,0.287396425,0.279674877,0.276752272,0.26178796,0.253231402,0.248731463,0.268410137,0.247711038,0.266807183,0.015009649
19,1000,0.252226543,0.281501275,0.282267926,0.272860049,0.273333662,0.256626155,0.250680295,0.242499289,0.264023793,0.24329566,0.261931465,0.014227418
