,0,1,2,3,4,5,6,7,8,9,10,11
0,10000000,0.1,1.00E-05,0,0,0.013,1.00E-05,0,0,0.025,1.3,1.874106574
0,10000000,0.1,1.00E-05,0,0,0.016,1.00E-05,0,0,0.025,1.6,17.07554092
1,10000000,0.1,1.00E-05,0,0,0.019,1.00E-05,0,0,0.025,1.9,79.4421125
0,10000000,0.1,1.00E-05,0,0,0.022,1.00E-05,0,0,0.025,2.2,192.1631886
1,10000000,0.1,1.00E-05,0,0,0.025,1.00E-05,0,0,0.025,2.5,400.8603679
2,10000000,0.1,1.00E-05,0,0,0.0325,1.00E-05,0,0,0.025,3.25,958.3544414
0,10000000,0.1,1.00E-05,0,0,0.04,1.00E-05,0,0,0.025,4,1831.800252
1,10000000,0.1,1.00E-05,0,0,0.05,1.00E-05,0,0,0.025,5,2819.135734
2,10000000,0.1,1.00E-05,0,0,0.06,1.00E-05,0,0,0.025,6,3900.759765
0,10000000,0.1,1.00E-05,0,0,0.07,1.00E-05,0,0,0.025,7,3562.323358
1,10000000,0.1,1.00E-05,0,0,0.08,1.00E-05,0,0,0.025,8,4110.899624
2,10000000,0.1,1.00E-05,0,0,0.09,1.00E-05,0,0,0.025,9,4174.980098
0,10000000,0.1,1.00E-05,0,0,0.1,1.00E-05,0,0,0.025,10,5127.731106
1,10000000,0.1,1.00E-05,0,0,0.11,1.00E-05,0,0,0.025,11,5277.420469
2,10000000,0.1,1.00E-05,0,0,0.12,1.00E-05,0,0,0.025,12,5225.287907
3,10000000,0.1,1.00E-05,0,0,0.13,1.00E-05,0,0,0.025,13,8385.463766
0,10000000,0.1,1.00E-05,0,0,0.14,1.00E-05,0,0,0.025,14,6831.172886
1,10000000,0.1,1.00E-05,0,0,0.15,1.00E-05,0,0,0.025,15,6787.535206
2,10000000,0.1,1.00E-05,0,0,0.16,1.00E-05,0,0,0.025,16,7673.11128
3,10000000,0.1,1.00E-05,0,0,0.17,1.00E-05,0,0,0.025,17,9826.536829
0,10000000,0.1,1.00E-05,0,0,0.0149975,1.00E-05,0,0,0.025,0.5999,13.55668671
0,10000000,0.1,1.00E-05,0,0,0.01755675,1.00E-05,0,0,0.025,0.70227,47.77750503
1,10000000,0.1,1.00E-05,0,0,0.02863625,1.00E-05,0,0,0.025,1.14545,596.4496687
0,10000000,0.1,1.00E-05,0,0,0.013975,1.00E-05,0,0,0.025,0.559,4.905416787
