,0,1,2,3,4,5,6,7,8,9,10
0,10000000,0.1,1.00E-05,0,0,0.1,1.00E-05,0,0,0.025,0.654012988
0,10000000,0.1,1.00E-05,0,0,0.12,1.00E-05,0,0,0.025,9.275288002
0,10000000,0.1,1.00E-05,0,0,0.11,1.00E-05,0,0,0.025,2.436254158
0,10000000,0.1,1.00E-05,0,0,0.13,1.00E-05,0,0,0.025,44.0587668
0,10000000,0.1,1.00E-05,0,0,0.16,1.00E-05,0,0,0.025,161.6895622
1,10000000,0.1,1.00E-05,0,0,0.19,1.00E-05,0,0,0.025,627.97894
0,10000000,0.1,1.00E-05,0,0,0.22,1.00E-05,0,0,0.025,894.6849898
1,10000000,0.1,1.00E-05,0,0,0.25,1.00E-05,0,0,0.025,1349.324803
2,10000000,0.1,1.00E-05,0,0,0.325,1.00E-05,0,0,0.025,2090.861323
0,10000000,0.1,1.00E-05,0,0,0.4,1.00E-05,0,0,0.025,3209.978044
1,10000000,0.1,1.00E-05,0,0,0.5,1.00E-05,0,0,0.025,3238.032902
2,10000000,0.1,1.00E-05,0,0,0.6,1.00E-05,0,0,0.025,5448.25898
0,10000000,0.1,1.00E-05,0,0,0.7,1.00E-05,0,0,0.025,6795.117277
1,10000000,0.1,1.00E-05,0,0,0.8,1.00E-05,0,0,0.025,5042.667396
0,10000000,0.1,1.00E-05,0,0,0.9,1.00E-05,0,0,0.025,6508.507506
1,10000000,0.1,1.00E-05,0,0,1,1.00E-05,0,0,0.025,6369.128164
